ID_encrypt,_Birth_Date_,Gender,_Country_of_Citizenship_,_Country_of_Birth_,_Preferred_Zip_Postal_Code_,_Local_Zip_Postal_Code_,_Group_1__Name_,_Group_1__Number_,_Education_1__Degree_Major_,_Offering_Enrollment_Date_,_Group_Payor_,_New_or_Returning_,Session,_Completion_Date_,Quarter_2,Quarter
0x01A44B75C20A584BFA940B9469726C56612F3E5A7610EF8CC732817D4036A96EB6A15456662049759051AC0510A8F5062E84A61FED9B3813D9AE0C85B201A98943,18 Oct 1990,M,Iraq,Iraq,90024,NULL,NULL,NULL,Bachelor,06 Sep 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01BE992F11BFCBBD08E1E2A7B2BD5EA74B61D98EE6FB5FB58707E571B4B1F7145291FFACFE3F509A4184A694E1BCE62B07939B89BC9DF78D8A3E8B9C5D624B5B49,14 Jul 1972,F,Saudi Arabia,Saudi Arabia,90020,90020,Saudi Arabian Cultural Mission,G001009,NULL,18 Aug 2016,Saudi Arabian Cultural Mission G001009,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0135C1DB794F23498438E4B9DFCA450B03F09424D949A79BB2A878CE4C1791F4B3DF2466506E8B151D94A2D4A07D05EF3D6E78D4DB412420F303FD8E6CDEB6EBE3,10 Apr 1982,M,Qatar,NULL,NULL,90024,NULL,NULL,NULL,26 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0198EFFAFE06C397F712E6A32FAA48F9163CDDD38B0102479FEC471A750922521B5D674E2771DB08A397FFA40A8E4C5A678B7B841A453A175124CA3981688C85CA,05 Apr 1996,F,Saudi Arabia,Saudi Arabia,11392,NULL,Saudi Arabian Cultural Mission,G001009,NULL,01 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x014412CF48AE1764097387D3C4E0FFCCE111811B93BAD8986BCAAEF92FD1BF053D54CD885519A2294EE58C88DF3D4717DD5398C09C4D2C32F665788C3EE37357C9,09 Jan 1992,M,Saudi Arabia,NULL,11392,NULL,Saudi Arabian Cultural Mission,G001009,NULL,01 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01F8169C2039B62FA7604F39AAA4B0FA2AF64E966B6E32742428955D46FB06693F4CE7EB2E4D9BCC81703B170E4F01F4B5692B415E1EEE492AB92D1CA7271938F0,30 Apr 1994,M,Qatar,NULL,90024,NULL,NULL,NULL,NULL,30 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x018B3D568F03C762B591C46DD6E83787D6A8A325A09E3AEB4B492CC3CDC858B695FCE5DFFCC48556AF06FBBDB06A7FD4036266C1AA5A12BA3A040229CF1E465489,22 Jun 1977,F,Saudi Arabia,NULL,90815,90024,Saudi Arabian Cultural Mission,G001009,NULL,28 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x015CDDC207925CF7CDD5ECE6472E166F984557C4D8A92B7603E5C667FF96C511D39BE279B56AB0CEE00EBE928D420FFC392CD5C5B6205BA5A304291D2CEC6A6649,01 Dec 1988,M,Saudi Arabia,Saudi Arabia,21442,90036,Saudi Arabian Cultural Mission,G001009,ELECTRONICS AND COMMUNICATIONS ENGINEERING,28 Sep 2016,Saudi Arabian Cultural Mission G001009,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0178D4DF97EEA14354D7F9F4F063830A0CE54026E1AC91CFB474BCE94EC6947A8BE4705473061F95C5CB60F076256B43FB4F16685E99CDECDA26E91E05E883777E,20 Jun 1985,F,Saudi Arabia,Saudi Arabia,13511,NULL,NULL,NULL,NULL,18 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0171C2E8677ED58A49DCE13B570E79A67B092F04C3EFB03AEA1711B5BB49B41245E6A6BEE1A2E1B714DA9ECFBA108897A101800E76B7E34D9DB1C2935B9764E5D7,06 Jul 1995,F,Kuwait,Kuwait,90036,NULL,Consulate General of the State of Kuwait,G001147,NULL,03 Aug 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
